Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17",0402,2,100n,
"C5, C6, C7",0402,3,4u7,
D1,D_SOD-323,1,BSD3C051V,
F1,1206,1,500 mA,
J1,Generic_Battery_Connector,1,Conn_01x02_Pin,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-14,1,HRO_TYPE-C-31-M-14,
J3,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Battery,C505023
J9,CON_TC2030_outlined,1,TC2030_SWD,
"L1, L2",0402,2,BLM15PX121SN1D,
LED2,0402,1,orange,
Q2,SOT-23,1,2N7002,
"R1, R18, R19, R2",0402,4,5k1,
"R10, R12",0402,2,1k5,
R11,0402,1,47k,
R13,0402,1,3k9,
R3,0402,1,100k,
R4,0402,1,100R,
"R7, R9",0402,2,10k,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S4, S5, S6, S7, S8, S9",One Key Module Graz,30,SW_OKM,
SW1,SW_SSSS811101,1,PWR,
SW2,SW_SPST_B3U-3000P-B,1,RST,
U1,SOT-23-6,1,SRV05-4,
U10,DFN-8-1EP_2x2mm_P0.5mm_EP0.7x1.3mm,1,MAX17048,
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075,
U8,nRF52840_moko_mk08_GRAZ,1,nRF52840_moko_mk08,
