Designator,Mid X,Mid Y,Rotation,Layer
C1,136.6,-3.98,270.0,bottom
C17,140.0,-39.75,90.0,bottom
C5,128.0,-12.5,180.0,bottom
C6,128.0,-10.0,0.0,bottom
C7,126.5,-13.75,90.0,bottom
D1,138.75,-8.75,90.0,bottom
F1,135.75,-11.6,0.0,bottom
J1,142.25,-39.347033,0.0,top
J2,131.0,-6.435,180.0,bottom
J3,140.5,-35.25,90.0,bottom
L1,136.7,-8.75,180.0,bottom
L2,125.4,-4.0,270.0,bottom
LED2,144.0,-11.25,90.0,bottom
Q2,121.3,-6.75,0.0,bottom
R1,134.5,-9.5,0.0,bottom
R10,142.25,-11.75,0.0,bottom
R11,125.0,-13.25,180.0,bottom
R12,128.0,-11.25,180.0,bottom
R13,123.0,-13.25,180.0,bottom
R18,130.0,-31.0,90.0,bottom
R19,128.25,-31.0,90.0,bottom
R2,128.0,-8.75,180.0,bottom
R3,124.0,-6.5,270.0,bottom
R4,120.5,-10.25,0.0,bottom
R7,120.5,-9.0,180.0,bottom
R9,121.5,-12.75,270.0,bottom
S1,14.5,-14.5,0.0,top
S10,71.5,-33.5,0.0,top
S11,90.5,-33.5,0.0,top
S12,109.5,-33.5,0.0,top
S13,14.5,-52.5,0.0,top
S14,33.5,-52.5,0.0,top
S15,52.5,-52.5,0.0,top
S16,71.5,-52.5,0.0,top
S17,90.5,-52.5,0.0,top
S18,109.5,-52.5,0.0,top
S19,14.5,-71.5,0.0,top
S2,33.5,-14.5,0.0,top
S20,33.5,-71.5,0.0,top
S21,52.5,-71.5,0.0,top
S22,71.5,-71.5,0.0,top
S23,90.5,-71.5,0.0,top
S24,109.5,-71.5,0.0,top
S25,14.5,-90.5,0.0,top
S26,33.5,-90.5,0.0,top
S27,52.5,-90.5,0.0,top
S28,71.5,-90.5,0.0,top
S29,90.5,-90.5,0.0,top
S3,52.5,-14.5,0.0,top
S30,109.5,-90.5,0.0,top
S4,71.5,-14.5,0.0,top
S5,90.5,-14.5,0.0,top
S6,109.5,-14.5,0.0,top
S7,14.5,-33.5,0.0,top
S8,33.5,-33.5,0.0,top
S9,52.5,-33.5,0.0,top
SW1,120.0,-2.25,180.0,bottom
SW2,112.0,-1.75,90.0,bottom
U1,131.25,-10.25,0.0,bottom
U10,129.115,-33.75,0.0,bottom
U3,124.3125,-10.0,180.0,bottom
U8,134.25,-22.25,90.0,bottom
